StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Demographic_Q1,Demographic_Q2,Demographic_Q3,Demographic_Q4,Demographic_Q5,Demographic_Q6,WHO_Q1,WHO_Q2,WHO_Q3,WHO_Q4,WHO_Q5,PEB_Q1,PEB_Q2,PEB_Q3,PEB_Q4,PEB_Q5,PEB_Q6,PEB_Q7,PEB_Q8,PEB_Q9,PEB_Q10,PEB_Q11,PEB_Q12,PEB_Q13,NR_Q1,NR_Q2,NR_Q3,NR_Q4,NR_Q5,NR_Q6,NR_Q7,NR_Q8,NR_Q9,NR_Q10,NR_Q11,NR_Q12,NR_Q13,NR_Q14,NR_Q15,NR_Q16,NR_Q17,NR_Q18,NR_Q19,NR_Q20,NR_Q21
11/12/2023 17:21,11/12/2023 17:32,100,683,TRUE,11/12/2023 17:32,R_3frVDl8ltmYuCV5,60,Woman,Rural area,Retired,1,Over 6 hours,Most of the time,Most of the time,Most of the time,More than half of the time,Most of the time,Often,Often,Often,Often,Often,Often,Often,Very often,Often,Very often,Often,Very often,Often,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Agree strongly
11/12/2023 17:17,11/12/2023 17:46,100,1740,TRUE,11/12/2023 17:46,R_3IXKmPnqV0UO4WR,40,Woman,Large city,Employed,1,Over 6 hours,More than half of the time,Some of the time,Less than half of the time,Some of the time,More than half of the time,Occasionally,Occasionally,Often,Never,Occasionally,Occasionally,Occasionally,Very often,Very often,Never,Very often,Very often,Very often,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree strongly
11/12/2023 17:46,11/12/2023 17:52,100,398,TRUE,11/12/2023 17:52,R_337mTzHCqefnfha,34,Woman,Large city,Employed,0,Over 6 hours,Most of the time,More than half of the time,More than half of the time,Less than half of the time,Most of the time,Never,Never,Often,Occasionally,Often,Occasionally,Often,Occasionally,Never,Rarely,Very often,Very often,Very often,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Neither agree nor disagree,Agree a little
11/12/2023 18:05,11/12/2023 18:08,100,183,TRUE,11/12/2023 18:08,R_1hyAC3PfLHJCnwY,59,Woman,Rural area,Employed,0,Over 6 hours,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Often,Often,Very often,Very often,Often,Often,Often,Very often,Often,Often,Very often,Very often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree a little
11/12/2023 18:41,11/12/2023 18:46,100,316,TRUE,11/12/2023 18:46,R_1Cw33RjOnFNwY4v,59,Woman,Rural area,Self-employed,2,Over 6 hours,Most of the time,Most of the time,More than half of the time,Some of the time,Most of the time,Rarely,Rarely,Occasionally,Never,Rarely,Never,Often,Often,Rarely,Occasionally,Very often,Very often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly
11/12/2023 19:15,11/12/2023 19:22,100,422,TRUE,11/12/2023 19:22,R_3EuOOkpo1HpEWYw,23,Woman,Rural area,Student,1,2 hours,More than half of the time,Some of the time,Some of the time,Some of the time,More than half of the time,Rarely,Never,Rarely,Rarely,Occasionally,Rarely,Never,Often,Never,Never,Very often,Often,Often,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly
11/12/2023 19:29,11/12/2023 19:34,100,256,TRUE,11/12/2023 19:34,R_2U4P9ZHY9bEpUPf,63,Man,Small city or town,Employed,5,Over 6 hours,Most of the time,All the time,Most of the time,Most of the time,Most of the time,Occasionally,Often,Very often,Occasionally,Very often,Occasionally,Very often,Very often,Occasionally,Occasionally,Very often,Very often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly
11/12/2023 20:11,11/12/2023 20:17,100,384,TRUE,11/12/2023 20:17,R_bdUCOpjHPeGrv7b,49,Woman,Rural area,Unemployed,1,Over 6 hours,Some of the time,More than half of the time,Some of the time,At no time,Less than half of the time,Rarely,Never,Very often,Occasionally,Very often,Rarely,Occasionally,Occasionally,Never,Occasionally,Very often,Very often,Often,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree a little
11/12/2023 20:18,11/12/2023 20:23,100,300,TRUE,11/12/2023 20:23,R_xaTiy258PuRITYJ,42,Man,Small city or town,Self-employed,1,Over 6 hours,Less than half of the time,Less than half of the time,Most of the time,Some of the time,More than half of the time,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Often,Never,Never,Very often,Occasionally,Occasionally,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree
11/12/2023 20:41,11/12/2023 20:54,100,757,TRUE,11/12/2023 20:54,R_sciYZRcY50QQiul,40,Non-binary,Rural area,Unemployed,2,Over 6 hours,Most of the time,Less than half of the time,More than half of the time,Less than half of the time,Most of the time,Occasionally,Occasionally,Occasionally,Never,Never,Never,Occasionally,Often,Never,Never,Very often,Occasionally,Occasionally,Agree strongly,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly
11/12/2023 20:59,11/12/2023 21:08,100,560,TRUE,11/12/2023 21:08,R_12SvR0X7ezBxReA,40,Woman,Rural area,Off-gridder,0,Over 6 hours,Some of the time,Some of the time,Most of the time,Some of the time,Most of the time,Never,Never,Rarely,Never,Rarely,Never,Never,Very often,,Never,Very often,Very often,Very often,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly
11/12/2023 21:03,11/12/2023 21:22,100,1154,TRUE,11/12/2023 21:22,R_1QGwxkkK2LsC8ZB,42,Woman,Small city or town,Employed,3,Up to 2 hours,More than half of the time,More than half of the time,Some of the time,More than half of the time,More than half of the time,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Often,,Often,Never,Never,Very often,Very often,Very often,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree a little
11/12/2023 22:01,11/12/2023 22:08,100,375,TRUE,11/12/2023 22:08,R_24O8G3hwTOWk892,51,Woman,Small city or town,Off-gridder,2,Over 6 hours,Most of the time,More than half of the time,More than half of the time,Less than half of the time,More than half of the time,Occasionally,Rarely,Often,Rarely,Occasionally,Occasionally,Often,Very often,Rarely,Occasionally,Very often,Very often,Very often,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree strongly,Disagree strongly,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree strongly
11/12/2023 22:11,11/12/2023 22:24,100,801,TRUE,11/12/2023 22:24,R_3imsuaNL3QfXK6e,33,Woman,Small city or town,Traveller,1,Over 6 hours,All the time,Most of the time,Most of the time,Most of the time,Most of the time,Very often,Never,Often,Never,Occasionally,Often,Often,Very often,Occasionally,Occasionally,Often,Often,Often,Disagree a little,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Agree strongly
11/12/2023 23:20,11/12/2023 23:27,100,420,TRUE,11/12/2023 23:27,R_30jVRDOEsENT6Df,35,Man,Suburb near a large city,Self-employed,2,Over 6 hours,Some of the time,Less than half of the time,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Occasionally,Never,Occasionally,Never,Often,Often,Often,Never,Very often,Often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree a little
12/12/2023 00:22,12/12/2023 00:28,100,379,TRUE,12/12/2023 00:28,R_22RY8gn2rXo0QFy,36,Woman,Small city or town,Unemployed,,Over 6 hours,Some of the time,At no time,Less than half of the time,Some of the time,More than half of the time,Occasionally,Never,Never,Occasionally,Never,Often,Rarely,Very often,Often,Never,Often,Occasionally,Very often,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly
